experiment,drive,model,features,train_window,train_months,val_months,n_test_months,sampling,seed,test_window,design,n_train_rows,n_test_failed,r001,r005,r01,r05,far01,r01_month_sd,roc_auc,far_drift,recorded_at,config
tos_win10_stride7,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10,2,6,계통7,42,2025-09~2026-02,이전 분할,,159,0.3605,0.5927,0.7122,0.821,0.01069,0.0468,0.917,0.732,2026-09-05 20:59,configs/experiments/tos_win10_stride7.yaml
baseline_seq14,HGST_20HUH721212ALN604,"gru,lstm,cnn1d,tcn,tcn_deep",raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,235,0.2914,0.4369,0.5736,0.8144,0.01192,0.0689,0.936,-0.143,2026-09-05 20:59,configs/experiments/baseline_seq14.yaml
tos_win10_stride4,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10,2,6,계통4,42,2025-09~2026-02,이전 분할,,159,0.3608,0.6265,0.7022,0.821,0.00941,0.0587,0.9116,0.844,2026-09-05 20:59,configs/experiments/tos_win10_stride4.yaml
imb_adasyn,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1518,0.3862,0.7068,0.00978,0.2257,0.9544,-0.956,2026-09-05 20:59,configs/experiments/imb_adasyn.yaml
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.0196,0.3629,0.5991,0.7876,0.01101,0.061,0.9635,-0.352,2026-09-05 20:59,configs/experiments/imb_balanced_bagging.yaml
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.0,0.2094,0.4468,0.7889,0.01039,0.0469,0.9609,-0.145,2026-09-05 20:59,configs/experiments/imb_balanced_rf.yaml
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0625,0.1726,0.2131,0.4939,0.01188,0.1989,0.9527,-0.891,2026-09-05 20:59,configs/experiments/imb_borderline_smote.yaml
imb_cost,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1672,0.2987,0.7454,0.00697,0.0707,0.9614,-0.906,2026-09-05 20:59,configs/experiments/imb_cost.yaml
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.1327,0.3897,0.4944,0.7889,0.01204,0.08,0.9576,0.928,2026-09-05 20:59,configs/experiments/imb_easy_ensemble.yaml
imb_match_val,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,match_val,42,2025-12~2026-02,이전 분할,,47,0.2064,0.4384,0.6145,0.7834,0.01255,0.0389,0.9614,-0.105,2026-09-05 20:59,configs/experiments/imb_match_val.yaml
imb_none,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.1434,0.5711,0.6383,0.8507,0.01306,0.0117,0.9599,0.989,2026-09-05 20:59,configs/experiments/imb_none.yaml
imb_ros,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.197,0.3225,0.4058,0.8323,0.00971,0.1994,0.9601,-0.999,2026-09-05 20:59,configs/experiments/imb_ros.yaml
imb_rus_1,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.3783,0.4414,0.5783,0.7889,0.01197,0.0583,0.9541,0.303,2026-09-05 20:59,configs/experiments/imb_rus_1.yaml
imb_rus_10,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0588,0.4259,0.6199,0.8085,0.01238,0.0815,0.9478,0.826,2026-09-05 20:59,configs/experiments/imb_rus_10.yaml
imb_rus_50,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.1385,0.3325,0.5979,0.8477,0.01156,0.041,0.9573,0.723,2026-09-05 20:59,configs/experiments/imb_rus_50.yaml
imb_rusboost,HGST_20HUH721212ALN604,xgboost_rusboost,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.7484,0.7484,0.7484,0.7484,0.06462,0.0888,0.9159,0.996,2026-09-05 20:59,configs/experiments/imb_rusboost.yaml
imb_smote,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1101,0.3475,0.7931,0.01002,0.1482,0.9499,-0.982,2026-09-05 20:59,configs/experiments/imb_smote.yaml
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1464,0.3641,0.7931,0.00896,0.1325,0.9541,-0.999,2026-09-05 20:59,configs/experiments/imb_smote_tomek.yaml
imb_stride_30,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,계통30,42,2025-12~2026-02,이전 분할,,47,0.1255,0.3421,0.5991,0.8477,0.01159,0.061,0.966,0.594,2026-09-05 20:59,configs/experiments/imb_stride_30.yaml
tos_select_stride2,TOSHIBA_20MG07ACA14TA,"randomforest,xgboost,lightgbm,mlp,lstm,gru,tcn",raw,rolling,10,2,6,계통2,42,2025-09~2026-02,이전 분할,,1113,0.3299,0.5857,0.7211,0.8022,0.01174,0.0411,0.888,0.722,2026-09-05 20:59,configs/experiments/tos_select_stride2.yaml
tos_win10_full,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.3664,0.6151,0.6991,0.8158,0.00964,0.0668,0.9142,0.864,2026-09-05 20:59,configs/experiments/tos_win10_full.yaml
tos_win10_stride2,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10,2,6,계통2,42,2025-09~2026-02,이전 분할,,159,0.3335,0.633,0.7379,0.8153,0.00978,0.0841,0.9192,0.707,2026-09-05 20:59,configs/experiments/tos_win10_stride2.yaml
winfull_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,expanding,,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.1861,0.4341,0.6011,0.8175,0.00987,0.062,0.9508,0.924,2026-09-05 20:59,configs/experiments/winfull_asfd7.yaml
